gene_name	Coordinates
MTCYBP13	17:22519616-22520709
MESTP3	4:28823243-28824211
RPS26P24	4:57352998-57353329
PPIAP54	17:40367951-40368438
MT2P1	4:68376322-68376505
UGT2B10	4:68815993-68832023
ACTG1P13	3:99215223-99216266
ACTR3P3	3:101163093-101163986
LINC02144	5:87665344-87733269
RNU6-1138P	14:23156308-23156414
RPS17P5	6:50857254-50857662
SIM1-AS1	6:100427118-100437484
RN7SL268P	22:23879492-23879790
MIF	22:23894382-23895227
ATP1B1P1	4:42029208-42030123
ZBTB12BP	4:39770080-39771371
PSMA2P2	8:93939363-93942877
UBE2V1P8	1:40942250-40942515
RNU6-1046P	14:23259459-23259566
GSTT2	22:23980057-23983915
PGAM1P6	2:23872267-23873014
H3P37	14:23293851-23295798
PPP4R3B-DT	2:55617909-55618373
PRKCE-AS1	2:45674700-45675476
GNG10P1	10:125960207-125960406
DUSP12P1	3:100221267-100223858
NDUFA4P2	3:103240986-103241230
R3HDM2P2	6:104017632-104019748
KRT18P18	16:72728615-72729894
RPL23AP60	10:133778245-133778699
EML6-AS1	2:54747102-54750473
LINC01824	2:6495650-6511839
SNX18P25	4:49588771-49589529
HOXB-AS2	17:48557261-48560333
EIF5AP3	19:45128568-45129030
KRT43P	17:41448182-41454055
HMGB1P44	4:77963939-77964511
MTND3P5	4:25720098-25720431
ARPC3P1	20:49134479-49135012
MTND6P16	4:64608904-64609424
HNRNPA1P67	4:72807266-72808192
NPIPB14P	16:69976387-69996188
LINC01154	12:54428302-54429403
VN1R71P	17:27057398-27058221
RAB5CP2	5:91476381-91477018
YWHAQP7	12:76619385-76620043
KRTAP9-2	17:41226647-41227652
SNRPGP20	12:79989013-79989218
LINC00686	20:62695023-62700480
CFAP97P1	1:35873269-35873752
SOCS5P2	9:135447445-135450154
OR8T1P	12:48442029-48442947
HNRNPA1P70	12:68035766-68036853
ISCA1P4	15:40948735-40948869
DUX4L52	12:61600066-61600843
RPS29P31	22:38574930-38575431
MRPS15P1	15:73483195-73483943
KRT8P50	15:42800967-42802405
LINC02452	12:96160691-96172126
NSA2P2	12:94521089-94521869
CNOT6LP1	15:56005714-56007176
HNRNPA3P11	15:57246959-57247893
RPL36AP45	15:75186650-75186968
NIFKP4	15:75251742-75252934
CYP2F2P	19:40818413-40826772
EIF5A2P1	15:72041193-72041653
DENND6A-AS1	3:57628809-57654918
HNRNPA1P17	3:108325519-108326814
PDLIM1P4	3:98782187-98783193
MTND4P16	3:106894351-106895718
TFAMP2	11:109907003-109907741
MTND6P6	3:106900592-106900855
RPL38P4	3:98525060-98525274
LINC02700	11:94638044-94652884
ZFHX2-AS1	14:23511759-23560778
C1GALT1P1	12:69284396-69285485
PRDX3P1	22:38722742-38723505
NTAN1P3	12:67424271-67424986
CYP2D6	22:42126498-42130881
CKS1BP7	8:80644938-80645173
PSMC2P2	8:84678797-84679842
SEC63P2	4:35487811-35489750
DUX4L11	10:133746640-133747907
CDV3P1	3:96776944-96777683
RPS29P26	19:39597831-39598002
SLC25A1P5	19:27805422-27806205
HAUS5-DT	19:35608285-35612666
COX6CP16	16:85278819-85279035
RPL7P24	5:80500331-80501400
LYPLA1P3	6:71165075-71165770
LINC02128	16:50840016-50901063
RPL21P104	12:61775922-61776400
PPIAP44	12:30861920-30862179
ARF4P2	20:62872249-62873076
PA2G4P5	6:112616703-112617880
RAP1BP3	6:117431590-117432442
TRIM60P15	8:46792064-46793064
RPL23AP48	6:121679971-121680459
SLC25A6P6	6:70663501-70664279
DUTP7	4:51865049-51865535
IRF5P1	8:92972574-92974738
COX6B1P6	8:89823547-89823802
NQO1-DT	16:69727013-69742563
EEF1B2P2	5:68159217-68159893
ST3GAL1P1	4:67716374-67717388
RPL12P2	6:37091313-37091806
LINC02061	5:32646563-32651976
HSPD1P11	5:95768998-95770700
GRK5-IT1	10:119208530-119211760
BTF3L4P3	6:137543896-137544372
PPIAP79	5:84999811-85000315
LINC00604	5:40240166-40267657
RBBP4P1	5:14797124-14798400
RPL7P12	2:38231567-38232317
RPS23P1	8:97865053-97865485
KRT8P3	8:61578219-61579668
SLIRPP2	4:25686202-25686458
ACTN4P2	1:37776669-37779418
UNC93B4	4:4143457-4150421
SHMT1P1	1:43850299-43851611
HNRNPA1P52	19:41829691-41830938
BCAR1	16:75228180-75268053
PHBP12	1:50780339-50781150
PGAM1P8	11:65174116-65176470
YBX2P1	10:123991909-123992669
CLUHP5	10:133657234-133660635
RNU6-934P	X:101325403-101325510
NANOGNBP3	X:101337724-101338289
RPL21P132	X:101339916-101340934
RPSAP12	12:68552994-68553882
RPS4XP1	12:100009051-100009838
RPL18AP8	3:96619303-96619831
IGFL1P1	19:46196237-46197323
EIF4A1P4	12:53153271-53154484
BRD7P1	14:23749235-23751150
RN7SKP205	14:23791929-23792236
LINC00596	14:23922246-23934568
PDZPH1P	5:103430405-103526618
LINC02865	6:137945365-137972522
MTCO1P22	5:100053685-100055045
C1GALT1P2	5:56192529-56193633
FCF1P10	6:113010936-113011415
TSSK1A	22:19124878-19125646
KRT17P3	17:30567699-30571748
DUX4L10	10:133743331-133744598
RPL15P13	10:114900721-114901366
KYNUP2	17:19082436-19084834
RPL21P120	17:21504557-21505059
FKBP1AP2	15:73143235-73143518
HMGB3P16	5:112452702-112452989
UBE2V1P4	9:129791195-129791837
RPS3AP21	5:111192225-111193042
KRT18P15	3:32258939-32260230
NPAP1P4	9:80357028-80360338
NPM1P47	15:62082449-62083305
LINC02698	11:115659657-115843146
DNM1P34	15:75299952-75302965
TARM1	19:54069894-54081365
SMARCE1P1	11:107403403-107404589
PPIAP90	X:101443706-101444103
DHRS4L2	14:23969873-24006408
PANK2-AS1	20:3888238-3888868
H2ACP2	2:33056332-33063113
VDAC2P5	2:65205108-65205988
VDAC1P13	2:42463138-42463997
PPIAP38	10:105685382-105685865
ARMC10P1	3:94506765-94507620
ODAD4	17:41930617-41966503
TRAF6P1	10:59136624-59138182
DUX4L12	10:133749949-133751216
HMGB3P8	10:116439467-116440044
HNRNPA1P36	8:81807771-81808726
HMGB3P2	20:36076017-36076601
NIP7P1	10:93106871-93107383
PHACTR2P1	10:119793588-119816642
KRT18P48	X:153604496-153605348
KRTAP9-4	17:41249686-41250653
NUTF2P7	X:71016530-71016905
RNU1-56P	X:71020274-71020438
SOCS5P4	X:71043213-71045470
GGTLC5P	22:18340144-18345899
RPL32P15	6:41308166-41308565
RPL21P66	6:132518829-132519295
ADGRD2	9:124451424-124478589
PPP1R26P3	22:18400406-18404206
H3P12	3:109409677-109410084
BUB1P1	10:127867880-127868487
RPL12P41	19:46219422-46219920
RPL31P61	19:36901741-36902117
TRAJ38	14:22502230-22502292
RPL5P27	10:116749904-116751261
DUX4L22	10:133677058-133678327
DUX4L13	10:133753249-133754516
TUBAP8	1:46891639-46892830
RPS26P39	10:123171534-123171875
LINC02812	1:53366655-53368245
RPS3AP11	1:42491738-42492493
LINC02793	1:25041135-25047404
FCF1P6	1:50405429-50406024
ZNF497-AS1	19:58362583-58367593
MOB4P1	2:70810798-70811474
BTBD7P2	10:111322777-111323397
MRPL35P3	10:74527583-74527947
LINC02833	14:92886351-92893508
CCDC137P	3:72086887-72087725
CYP2A7P2	19:40908479-40910685
TUBBP10	1:52994725-52996026
GCSAM	3:112120838-112133270
KIR3DL3	19:54724478-54736536
FTH1P16	11:77734474-77735026
LINC02456	12:102304354-102463491
LINC02590	2:43041192-43043782
SOX5P1	8:87788561-87789688
LINC02235	8:81841951-81924348
CYB5AP3	14:93138066-93138465
MOAP1	14:93182198-93184923
HNRNPA1P60	11:110788025-110788976
GOT2P1	1:55367465-55368774
TMA16P2	1:45846993-45847594
RPL31P60	19:32963498-32963865
PABPC1P3	X:74583087-74583546
RNU6-330P	X:74680052-74680159
RPSAP61	X:44741086-44741964
RN7SL291P	X:44772772-44773061
EIF4A1P3	9:131782569-131782813
ACTG1P19	9:100731239-100732355
REXO1L3P	8:85654683-85658514
CT45A11P	X:135942477-135947139
ARL6IP1P3	11:80653428-80653988
GAPDHP67	X:136077843-136078631
E2F6P4	X:136097834-136098348
RPSAP50	11:109982191-109983043
KRT18P49	X:107428629-107429461
DBIP2	5:80603382-80603644
CRLF3P2	5:99948295-99949583
SNX2P2	7:31941260-31941583
MTCO3P22	5:100051132-100051916
ISCA1P1	5:62776876-62777263
COX6CP11	14:77652826-77653055
RPS10P14	7:37375521-37376023
RPL21P10	14:77683201-77683989
ZMYND19P1	14:77696590-77697377
LINC01974	17:46909741-46911512
WDR5-DT	9:134132242-134135772
XRCC6P1	10:93206856-93209627
IGFL1P2	19:46260419-46260858
KIR2DP1	19:54755022-54767371
BCRP8	22:23179917-23180172
RN7SL263P	22:23261781-23262071
RSL24D1P3	7:65335173-65335668
IFNA12P	9:21403080-21403651
MTND1P3	7:141803700-141804652
SNRPGP1	14:50571918-50572140
GRPEL2P3	7:94782885-94783525
RN7SL452P	14:50637690-50637981
ZFP64P1	14:50704342-50705511
MYCL-AS1	1:39897744-39899098
BRCA1P1	17:43168170-43168249
TAF9BP2	10:114809374-114811170
MTCYBP28	16:82120637-82121769
KRT18P24	9:79036412-79037568
MRPS6P2	1:50846467-50846837
SPATA31B1P	9:82057646-82063682
GGCTP1	5:95834423-95835046
EGFLAM-AS1	5:38425035-38427376
FAM242C	12:54085131-54125992
TREHP1	11:118688032-118690599
OR7E62P	2:71055526-71056003
DNAJB12P1	2:65500993-65502138
RPL23AP59	10:106550105-106551121
SIGLEC24P	19:51280862-51283022
KIR2DL1	19:54769792-54784322
RAP1BP2	3:104063038-104063582
RPS27AP11	6:113581500-113581947
LRRC37A13P	11:113791465-113791752
VDAC1P2	X:49632499-49633349
SALL1P1	X:49664843-49668680
RPL12P46	11:115578048-115578243
XRCC6P2	X:150231074-150232896
RNU6-972P	X:136773998-136774105
HYDIN	16:70802083-71230722
RPL7P56	X:136791063-136791780
RANP4	X:136807222-136807877
RAB28P5	X:136847383-136848034
ATP5PBP5	11:122960326-122961086
SLC29A4P2	7:63556597-63562588
MTND4LP2	7:64105291-64105576
SP2-DT	17:47891229-47895812
RPL23AP19	1:8831006-8831375
TMSB4XP1	1:42500204-42500339
LINC02794	1:48050658-48091736
CYP4A26P	1:46967678-46967874
LINC02808	1:50229661-50321192
LINC02778	1:60114874-60149784
RPS4XP10	8:94352922-94353653
SLC10A5P1	8:81634356-81635662
MYL12AP1	8:93849560-93850075
RPSAP47	8:80558869-80559757
RPL22P23	X:136947747-136948133
SRRM1P3	X:136976416-136985705
DUXAP2	8:101366416-101367005
RFC5P1	9:77072099-77073295
TCEAL3-AS1	X:103626075-103626492
SKA2P1	9:122761843-122762233
CDC20P1	9:87011651-87013151
YWHABP1	9:38643041-38643768
ASS1P11	7:21220212-21221428
OR7E38P	7:97966089-97967074
EEF1GP1	7:125033452-125035301
CNEP1R1P1	X:103651735-103652106
LETM1P2	19:58044591-58046769
HMGN1P14	5:111846049-111846566
REXO1L12P	8:85714921-85715833
LINC02839	8:82098450-82160577
MIPEPP1	7:112735165-112738693
CPP	8:91157285-91158748
HMGN2P21	2:70803156-70803426
RPL37P13	2:62507545-62507823
EIF3FP3	2:58251439-58252525
HNRNPDLP4	19:58049045-58049346
IFNWP15	9:21178588-21179188
SEPTIN7P7	9:98606832-98608133
IL9RP1	9:138137095-138143864
MTND2P8	9:78741719-78742744
DNM1P38	15:82531652-82534139
OR4F8BP	9:138319898-138320835
RPS29P2	8:41271430-41271566
RPL39P28	12:68001393-68001548
ZNF90P1	3:101357291-101359242
VSIG10L-AS1	19:51340695-51344117
TRGVB	7:38295762-38296233
NDUFAF4P2	7:93844788-93845308
PPIAP31	10:32188322-32188817
PPIAP11	5:82009601-82010094
NAIPP3	5:69607098-69624049
MTRF1LP1	11:113711719-113712398
MTND4P35	5:100048987-100050362
SLC25A5P9	5:75752569-75753479
KIR3DP1	19:54786354-54790318
TPRX2P	19:47860112-47861512
LINC02713	11:97878474-97959558
ADAM18	8:39584488-39730065
LINC01595	19:47863408-47865459
DDX10P2	9:82086154-82088768
RPS19P6	9:80782337-80782770
RNA5SP279	9:1333836-1333953
RNU6-1073P	9:1001857-1001963
RNU2-47P	9:12300265-12300451
RN7SL98P	9:15525781-15526081
RNU6-246P	9:15544187-15544294
RN7SL123P	9:6661650-6661942
RNU6-264P	9:19073842-19073946
RNU6-319P	9:15431898-15432006
RN7SL720P	9:17053900-17054204
RNU6-559P	9:15143288-15143386
RNU6-14P	9:15776180-15776286
RN7SL151P	9:21699313-21699596
RN7SKP120	9:25088810-25089151
RN7SL25P	9:6542093-6542353
RN7SL849P	9:12764760-12765055
RMRPP5	9:24905468-24905735
RNU4ATAC15P	9:33174169-33174295
RNU6-677P	9:37333856-37333957
RNU6-765P	9:38680005-38680104
RNU6-156P	9:40759599-40759706
RNA5SP530	9:41237439-41237557
RN7SL565P	9:41578902-41579186
RN7SL343P	9:42011349-42011610
RNU6-599P	9:42863199-42863306
RN7SL544P	9:62363580-62363864
RNA5SP283	9:62802319-62802438
RN7SL462P	9:61427616-61427877
RNU6-1193P	9:64380193-64380300
RNU6-1293P	9:64880368-64880475
RNU2-5P	9:70188570-70188750
RN7SL570P	9:69884362-69884654
RNA5SP285	9:72299719-72299838
RNU6-538P	9:66142220-66142327
RNA5SP286	9:73750971-73751077
RN7SKP47	9:74799894-74800222
RNU6-445P	9:74857674-74857781
RN7SL422P	9:67175774-67176035
RN7SKP59	9:78165464-78165778
RNU6-1303P	9:77635202-77635309
RNU6-1035P	9:81725242-81725349
RN7SKP242	9:83200939-83201228
RNU4-15P	9:83596443-83596584
RNU2-36P	9:86422937-86423128
LDHAL6EP	4:71434404-71437924
RNU4-29P	9:83275940-83276114
RN7SKP264	9:86258357-86258646
RNU6-1228P	9:75198070-75198177
RNA5SP287	9:81885495-81885598
RNU6-714P	9:92820976-92821079
RNU6-1160P	9:96256215-96256319
RN7SL794P	9:99185586-99185866
RNA5SP290	9:99145839-99145966
RN7SKP87	9:100581078-100581379
RN7SL75P	9:100102558-100102839
KIR2DL4	19:54803534-54814517
RNU6-996P	9:107663139-107663246
RNU6-918P	9:98032229-98032335
RNU6-329P	9:102256603-102256710
RNU6-492P	9:107475035-107475139
RNA5SP291	9:103689472-103689577
RN7SL659P	9:107811615-107811914
RNU6-1064P	9:107797743-107797847
RN7SKP191	9:105096755-105097061
RNU6-855P	9:112137796-112137900
RN7SKP225	9:99284021-99284373
RNA5SP293	9:107918865-107918978
RNU6-432P	9:110903336-110903445
RNY4P18	9:111097324-111097413
RNA5SP294	9:111411643-111411742
NAIPP2	5:70094658-70128434
RNU6-1082P	9:117707995-117708102
RN7SL57P	9:112242549-112242839
RNA5SP295	9:112252257-112252378
RN7SL430P	9:112272595-112272837
RNU6-710P	9:111996634-111996739
RNU4-82P	9:124887409-124887549
RN7SL302P	9:124607158-124607458
RNU6-1039P	9:110369591-110369698
RN7SL30P	9:125512901-125513207
RNU5D-2P	9:132421640-132421690
RN7SL328P	9:131725167-131725467
PTMAP8	3:117026697-117027039
COX6CP6	3:70751122-70751350
RNU6-785P	9:138259594-138259698
ST13P14	3:50876711-50877657
MTND5P16	3:106898888-106900591
MTND4LP3	3:106895728-106896408
MYL6P4	7:141811804-141812257
RPL3P8	7:109998433-109999624
RPL7P42	12:68684594-68686308
RNU6-689P	14:75020760-75020867
HSPA8P11	8:30237381-30240997
ANO4	12:100717525-101128641
HIF1AP1	14:75116425-75116600
KRT8P31	5:60743562-60744970
LDHBP3	5:92840806-92841628
RPL31P33	6:53368669-53369009
RNU4ATAC14P	14:75202080-75202169
RPL34P23	11:123035866-123036224
TRIM64EP	11:90057604-90062999
MPHOSPH6-DT	16:82170296-82175803
RSF1-IT1	11:77738679-77739568
LINC02176	16:84928352-84939603
MTND2P14	3:106902172-106902523
APOOP4	4:68304342-68304939
LARP1BP1	4:63350113-63351472
KRT18P9	6:34189779-34191079
HSPB1P2	X:49233955-49234501
ZNF587P1	3:31794469-31796175
HLFP1	6:132674884-132675383
KRT18P50	6:95991106-95992349
ARL4AP5	6:150934967-150935566
EEF1A1P42	6:49358184-49360420
CALHM6-AS1	6:116460739-116463692
PRODH	22:18912776-18936553
RPL5P14	5:31847270-31848148
BCLAF1P1	5:110948028-110950780
MTCO1P35	3:106900853-106901081
SALL4P1	5:57422463-57424391
AKR1B1P2	3:74135958-74136892
HMGN2P4	5:76242023-76242404
HMGB1P35	5:77146567-77147165
NDUFAB1P1	6:70734502-70734962
RPSAP4	14:94726287-94727175
RPL15P2	14:94800848-94801463
ADIPOR1P2	14:94633704-94634524
KRT8P35	3:63096373-63097711
RPL12P20	4:41389114-41389593
MTND3P22	4:49246600-49246915
PRR13P7	8:91909737-91910167
CENPCP1	12:89500092-89502670
H3P24	5:115770585-115770989
LINC02820	12:85318059-85342912
HSPE1P7	16:74612595-74613221
RNU6-707P	X:48153979-48154074
PSME2P4	4:37995494-37996203
SSXP3	X:48156366-48166350
TBCAP3	4:98909536-98909848
S100A11P5	X:48177731-48178023
RNA5SP503	X:48206257-48206374
S100A11P7	X:48228833-48228959
S100A11P6	X:48274904-48275047
CHORDC1P1	2:42826321-42827617
KRTAP9-3	17:41232448-41233454
PPIAP19	10:114690142-114690634
LINC02646	10:130213487-130483193
RPS15AP30	10:112987475-112987865
NDUFB10P1	15:57325471-57326447
PRDX4P1	4:44944014-44944961
NPM1P41	4:82010664-82013095
PPBPP1	4:73847865-73848829
RBMX2P5	5:80331572-80332541
IGLVIVOR22-1	22:25437305-25437823
EIF4A2P2	10:73199825-73201225
NMTRS-TGA3-1	17:22528852-22528921
FAM86MP	4:9692494-9702954
CYCSP2	15:41108877-41109178
DNM1P49	15:75791469-75792683
ZNF132-DT	19:58440448-58445849
PTP4A1P4	5:86087525-86087847
RPS10P9	2:64665607-64666064
RPL7P23	5:77582375-77583122
GUSBP15	5:70516387-70555266
GPR160P2	17:31759794-31761385
KRTAP9-12P	17:41212705-41213237
VN1R37P	7:64149684-64150432
PHBP3	1:58999675-59000494
B4GALNT2P1	17:49085510-49086702
MTND5P40	15:46341353-46341599
CYP2A7P1	19:41024267-41027720
LINC02894	8:94637285-94639467
CYP2G2P	19:41050448-41062444
UBE2Q2P9	3:72006773-72006975
KIR3DL1	19:54816467-54830778
SSU72P8	7:124476370-124476955
TRBV14	7:142587867-142588359
GAPDHP50	3:89047441-89048434
REXO1L10P	8:85744542-85748373
MTND1P19	4:92702344-92702659
HMGA1P2	4:73098821-73099145
RAC1P6	7:115136474-115137220
SKAP1-AS1	17:48185937-48204529
GPR141BP	7:37796057-37796888
RPL17P50	10:73005832-73006595
AURKAP2	10:114246073-114246714
GAPDHP45	10:15093262-15093611
RNU6ATAC9P	14:54859214-54859330
FDPSP3	14:54884848-54886213
LRRC37BP1	17:30629679-30637466
LINC02830	7:125151325-125153611
TNRC18P2	7:63567742-63585075
BNIP3P34	19:22773852-22774424
TRBV4-2	7:142345420-142345985
TUBG1P	7:43918696-43920054
RPSAP13	14:55004812-55005687
LINC02641	10:123356449-123537767
TUBA3GP	22:21065461-21070097
TCF20	22:42160012-42343616
PSMC1P10	2:17385090-17386417
FAF2P1	10:91765898-91767196
RPL34P19	10:31983884-31984554
H3P5	2:30209994-30210307
MTATP6P2	5:100051919-100052597
ZP3P1	5:83875165-83875821
SERBP1P6	5:42465399-42468868
MIR378D2HG	8:93915733-93916682
MTND3P2	7:64105653-64105995
RPL34P18	8:93957337-93957691
PTCHD3P1	10:29421475-29422012
LINC02117	5:37899362-37920869
LINC02132	16:85935280-85936223
LINC02629	10:33909237-33917804
HMGB1P7	10:31913142-31913754
MTCO1P20	22:36172421-36172779
MTCO2P20	22:36172933-36173948
MTATP6P20	22:36174260-36174822
MTCO3P20	22:36175166-36175854
MTCYBP34	22:36175856-36176526
MTND1P10	22:36178553-36179385
HNRNPH1P3	5:55838800-55840025
GUSBP7	5:100062275-100067954
SUPT4H1P1	2:75651287-75651627
HMGB1P36	3:70753853-70754573
EEF1A1P20	5:99996546-99997932
RNU4-53P	9:36267782-36267922
B3GNTL1P1	5:52889665-52889954
PSMC1P4	5:56275303-56276630
HNRNPA1P23	3:122317608-122318741
RPL39P	20:56459427-56459583
HMGN1P13	5:111572101-111572239
UFM1P3	8:100165226-100165478
MESTP1	6:128928994-128929988
POM121L14P	6:57937457-57939015
CYP4F44P	8:43539972-43540927
VTA1P2	8:87575597-87576508
PTMAP15	8:103559098-103559389
NIPA2P4	8:81617219-81618560
LINC02599	8:48590400-48594621
RPS12P20	11:72708185-72708565
RPS4XP12	11:121250269-121250978
CLCP1	22:17424387-17424775
ZFPM1-AS1	16:88512960-88531053
NFYBP1	3:109915975-109916940
NECAP1P1	7:37585499-37586329
WWP1P1	3:98657801-98660570
SUMO2P14	7:24589114-24589407
MTCYBP20	8:46837577-46838706
GAPDHP30	8:96068729-96069681
RPS2P48	17:53756988-53757870
GOSR2-DT	17:46916770-46923034
HNRNPA1P55	4:73938603-73939558
BRIX1P1	8:51435601-51436509
HSPE1P14	8:102451762-102452483
RPL10AP3	8:34322991-34323642
ZNF317P1	8:93646065-93647092
MTND2P38	8:46827227-46827894
KIR3DL2	19:54850442-54867207
RPL26P15	2:46003941-46004309
RPS20P9	2:62939916-62940282
ELOCP21	2:70955898-70956234
KRT8P32	5:98392069-98393530
RPL5P33	17:50847949-50849270
RPL39P33	17:56573039-56573195
CDC26P1	7:129410113-129410370
BOLA3P3	5:126663336-126663568
FGGY-DT	1:59131932-59296491
LAMTOR5P1	1:62038841-62039111
ZFP28-DT	19:56536156-56538575
RPS17P2	5:116716242-116716650
MTCO2P34	1:55372709-55373316
RPS29P7	1:65154479-65154650
PIGQP1	1:55938713-55939280
OR7E99P	4:4156521-4157443
TMSB4XP8	4:90838902-90839037
MTND5P4	4:17061877-17062165
MTCO3P39	4:49246020-49246538
LINC02836	6:105612666-105632296
RPL37P23	19:52143042-52143336
FCAR	19:54874234-54891420
RPS20P10	2:71984181-71984434
MTND4P25	2:82814983-82815516
RPS15AP15	2:65511771-65512076
RPL27P5	2:63108118-63108429
USP21P2	2:76260754-76261661
NAIPP4	5:71102897-71128753
MTND4LP5	5:100050358-100050650
UBE2HP1	8:81254869-81255229
RPSAP66	17:60564739-60565671
LRRC37A17P	17:46978480-47054569
TMSB4XP6	20:50840614-50840749
CYCSP19	7:121398451-121398767
LINC02842	8:61785046-61944180
LINC01606	8:57142658-57244793
RPL21P37	2:62532583-62533059
PSMD10P1	20:50913730-50914411
PRELID3BP10	7:127295619-127296203
LINC02744	11:119987951-119995037
RPL12P12	20:19823442-19823943
HIGD1AP10	11:65145690-65145972
COPS8P3	11:78581674-78582156
RPS13P2	1:52772193-52772648
RPS26P43	11:123049786-123050353
RPL23AP85	1:56585611-56586242
SLC2A3P2	1:64984607-64986087
LINC02727	11:123313656-123315340
ATF4P4	11:113789230-113791366
TYMSP2	19:35683777-35684201
C16orf95-DT	16:87317509-87318043
OR7E29P	3:125712138-125713045
MTND5P13	4:64609453-64610532
LINC01217	4:100778581-100791426
RPL32P32	17:60245288-60245647
RPL35AP11	4:94369833-94370163
PDPR2P	16:74332402-74368240
ALG1L6P	3:75415069-75422143
MTCO2P4	8:103091262-103091509
MTCO3P41	7:67628021-67628349
ATP5F1EP1	4:105532474-105532630
LINC02697	11:134950707-134951568
PHOX2B-AS1	4:41748292-41824119
PPIAP70	3:60690224-60690719
PDCD5P2	5:76280955-76281267
FABP5P5	5:95973040-95973446
MRPL49P1	5:64674852-64675387
MTCO2P22	5:100052858-100053539
PGAM1P1	5:58161196-58161752
RPS3AP20	5:79284131-79284918
AFF4-DT	5:132963770-132964164
ATP5MJ	14:103912288-103928269
RPLP0P6	2:38481850-38482804
MRPS33P2	4:38006783-38007105
ST6GALNAC2P1	2:84039884-84040720
PABPC1P7	4:102896724-102898237
RNU6-576P	10:2199386-2199488
RNU6-163P	10:4514951-4515057
RNU6-889P	10:2098166-2098269
RNA5SP299	10:8656715-8656831
RN7SKP78	10:6149622-6149940
RNU6-1095P	10:11923180-11923288
RN7SL198P	10:12328131-12328389
RNA5SP300	10:12924678-12924785
RNU6-6P	10:13217268-13217375
KLHDC7B-DT	22:50542305-50542906
RNU6-1075P	10:16207820-16207927
RNU2-18P	10:16476002-16476164
RNA5SP302	10:14663394-14663494
RNU6-1212P	10:19792997-19793101
RNA5SP303	10:19633682-19633812
RNU6-1141P	10:21661634-21661741
RNU6ATAC39P	10:12456482-12456631
RNU6-88P	10:12116279-12116379
RN7SKP219	10:21785291-21785587
RN7SKP37	10:21933142-21933438
RNA5SP307	10:26509588-26509704
RNA5SP306	10:25813810-25813917
RNU6-413P	10:22787392-22787499
RNA5SP304	10:22997254-22997358
RN7SKP132	10:27783845-27784053
RNU6-908P	10:29711914-29712008
RNA5SP308	10:28874392-28874507
RNU6-632P	10:25819362-25819426
RN7SL825P	10:31992086-31992381
MTND5P27	2:82815808-82817528
RN7SKP220	10:25393556-25393844
RNU6-1244P	10:32394557-32394665
RNU7-22P	10:32173683-32173744
RN7SL398P	10:33288303-33288601
RNU6-193P	10:34942968-34943075
RNU6-794P	10:35231330-35231394
RNU6-1167P	10:35250958-35251052
FTLP3	20:4023916-4024444
RPL21P2	20:4059632-4060113
RNU6-847P	10:34926774-34926882
RNU7-77P	10:35135442-35135502
RNU6-1118P	10:38423624-38423728
RNU6-795P	10:38043872-38043975
RNU6-1170P	10:42605157-42605263
RNU6-885P	10:42832446-42832550
RNU7-193P	10:43458064-43458129
RN7SL248P	10:46648947-46649276
RNA5SP312	10:47532351-47532467
RNU6-1207P	10:45188789-45188896
RNA5SP318	10:53458196-53458288
RN7SKP196	10:58869183-58869528
RNU6-543P	10:63110138-63110246
RNA5SP311	10:46807457-46807573
RNU2-72P	10:60912764-60912927
RN7SKP202	10:68158078-68158408
RNA5SP319	10:68461406-68461525
RNU6-833P	10:73279061-73279168
RN7SL284P	10:77912270-77912545
RN7SL518P	10:76242021-76242301
RNU6-673P	10:76260799-76260903
PPIAP93	7:125345824-125346197
RNU6-1266P	10:77776950-77777055
RN7SL840P	10:72582802-72583086
RNU1-65P	10:84003331-84003479
RNU6-325P	10:85537378-85537483
RNU6-478P	10:83067961-83068071
RN7SKP238	10:85650011-85650260
RNA5SP322	10:86052447-86052566
RNU6-129P	10:83764357-83764464
RN7SKP143	10:90163650-90163960
RNU6-441P	10:82340770-82340876
RNU6-271P	10:96112746-96112851
RNA5SP324	10:96619375-96619483
TRBV15	7:142592927-142593473
RNU6-422P	10:100258570-100258677
RNU6-1231P	10:102803928-102804031
RNU2-43P	10:101307528-101307718
RN7SKP278	10:108940968-108941310
RN7SL524P	10:103974514-103974814
RNA5SP326	10:107461559-107461669
RNU5B-6P	10:109184933-109185001
RNU6-463P	10:105534658-105534765
RNU4-5P	10:109869857-109869992
RN7SKP288	10:110756455-110756723
RNA5SP327	10:110761141-110761242
RNU7-165P	10:113353424-113353484
RNU6-1165P	10:101622858-101622965
RNU6-1090P	10:116538182-116538276
RNU6-1121P	10:114969459-114969568
RNU2-59P	10:101364844-101365035
RNU6-709P	10:114111413-114111517
RN7SL384P	10:114423769-114424067
RNU6-839P	10:109239638-109239746
RNA5SP325	10:106970020-106970150
RN7SL846P	10:119768246-119768538
RNU2-42P	10:125890565-125890678
RN7SL749P	10:119212856-119213146
RNU6-728P	10:122345689-122345793
RNA5SP328	10:126145473-126145582
NPM1P10	6:104025539-104026763
CYP2T3P	19:41134721-41137308
PGAM1P3	3:40322714-40323279
UBL5P3	3:63203217-63203448
CEACAMP9	19:43096455-43097360
RPL7AP69	19:57065333-57066139
RPL36P16	19:41169860-41170166
ZNF470-DT	19:56545566-56567411
GTF2F2P2	1:40593632-40594353
HOXB-AS4	17:48628674-48634932
